,0
1940,153398
1941,153420
1942,153694
1943,153740
1944,153814
1945,153914
1946,154049
1947,154085
1948,154133
1949,154189
1950,154252
1951,154295
1952,154427
1953,154663
1954,154701
1955,154805
1956,154827
1957,154869
1958,155133
1959,155250
1960,155274
1961,155299
1962,155514
1963,155533
1964,155609
1965,155761
1966,155882
1967,156017
1968,156018
1969,156051
1970,156092
1971,156150
1972,156267
1973,156299
1974,156330
1975,156337
1976,156396
1977,156413
1978,156460
1979,156561
1980,156583
1981,156658
1982,156677
1983,156807
1984,156856
1985,156894
1986,156962
1987,157000
1988,157284
1989,157354
1990,157435
1991,157442
1992,157469
1993,157505
1994,157549
1995,157582
1996,157607
1997,157626
1998,157775
1999,157944
2000,158013
2001,158141
2002,158207
2003,158236
2004,158302
2005,158416
2006,158670
2007,158756
2008,158760
2009,158774
2010,158806
2011,158854
2012,158914
2013,159100
2014,159134
2015,159159
2016,159165
2017,159186
2018,159299
2019,159309
2020,159314
2021,159326
2022,159498
2023,159514
2024,159548
2025,159551
2026,159569
2027,159689
2028,159730
2029,159834
2030,159872
2031,160132
2032,160158
2033,160230
2034,160284
2035,160288
2036,160378
2037,160389
2038,160438
2039,160482
2040,160493
2041,160510
2042,160642
2043,160666
2044,160689
2045,160716
2046,160782
2047,160839
2048,160866
2049,160926
2050,161021
2051,161080
2052,161085
2053,161094
2054,161136
2055,161167
2056,161259
2057,161282
2058,161412
2059,161591
2060,161632
2061,161681
2062,161728
2063,161810
2064,161819
2065,161865
2066,162046
2067,162075
2068,162140
2069,162373
2070,162471
2071,162542
2072,162589
2073,162715
2074,162778
2075,162984
2076,163026
2077,163075
2078,163336
2079,163407
2080,163540
2081,163699
2082,163776
2083,163915
2084,163958
2085,163992
2086,164042
2087,164314
2088,164465
2089,164541
2090,164572
2091,164592
2092,164819
2093,164904
2094,164949
2095,165062
2096,165072
2097,165086
2098,165121
2099,165171
2100,165342
2101,165350
2102,165411
2103,165501
2104,166095
2105,166148
2106,166182
2107,166193
2108,166216
2109,166229
2110,166281
2111,166409
2112,166432
2113,166436
2114,166717
2115,166723
2116,166846
2117,166853
2118,166911
2119,166952
2120,167099
2121,167194
2122,167250
2123,167335
2124,167355
2125,167381
2126,167546
2127,167577
2128,167625
2129,167650
2130,167746
2131,167751
2132,167950
2133,167968
2134,168033
2135,168042
2136,168044
2137,168048
2138,168073
2139,168084
2140,168099
2141,168132
2142,168260
2143,168273
2144,168375
2145,168377
2146,168378
2147,168389
2148,168826
2149,168916
2150,168939
2151,168993
2152,169057
2153,169201
2154,169256
2155,169284
2156,169421
2157,169784
2158,169796
2159,169800
2160,169837
2161,169847
2162,169898
2163,170113
2164,170157
2165,170178
2166,170179
2167,170207
2168,170400
2169,170427
2170,170673
2171,170785
2172,170998
2173,171025
2174,171093
2175,171139
2176,171207
2177,171291
2178,171320
2179,171399
2180,171464
2181,171516
2182,171549
2183,171613
2184,171833
2185,171959
2186,171965
2187,171976
2188,172144
2189,172153
2190,172170
2191,172433
2192,172481
2193,172531
2194,172552
2195,172623
2196,172687
2197,172777
2198,172819
2199,172837
2200,172884
2201,172920
2202,173078
2203,173105
2204,173250
2205,173389
2206,173409
2207,173796
2208,173847
2209,173859
2210,174034
2211,174191
2212,174282
2213,174364
2214,174577
2215,174639
2216,174706
2217,174801
2218,174803
2219,174804
2220,174858
2221,174865
2222,175108
2223,175137
2224,175172
2225,175235
2226,175242
2227,175281
2228,175444
2229,175604
2230,175637
2231,175740
2232,175756
2233,175792
2234,175853
2235,175984
2236,175992
2237,176051
2238,176077
2239,176301
2240,176335
2241,176431
2242,176528
2243,176707
2244,176716
2245,176798
2246,176820
2247,176840
2248,176908
